expiry_days,expiry_years,strike,moneyness,option_type,market_price,use_for_iv,iv,pct_error_flat_vol,pct_error_svi_vol
2,0.005479452054794521,805.0,1.074522496046854,call,0.02,True,0.3555467234740039,75.99640916491781,46.48798501577724
2,0.005479452054794521,810.0,1.0811965488173312,call,0.01,True,0.35878751686743654,82.30343283723064,1.2752438221453646
2,0.005479452054794521,815.0,1.0878706015878086,call,0.01,True,0.38442051102381036,93.84092698926752,1.5350012684177925
2,0.005479452054794521,820.0,1.094544654358286,call,0.02,True,0.4367208664431567,98.98764005344685,51.24461300836538
2,0.005479452054794521,825.0,1.1012187071287634,call,0.01,True,0.434779268622909,99.37099824526166,2.247822291152526
2,0.005479452054794521,830.0,1.1078927598992407,call,0.01,True,0.45953496028932317,99.81523584403718,1.2372927844594115
2,0.005479452054794521,835.0,1.1145668126697181,call,0.01,True,0.4840250636940266,99.94865167496418,0.25344672997648987
2,0.005479452054794521,840.0,1.1212408654401955,call,0.01,True,0.5082605131454839,99.98648989349752,2.021107534030484
2,0.005479452054794521,845.0,1.1279149182106727,call,0.01,True,0.5322514582060114,99.99663248038463,3.9185843052881064
2,0.005479452054794521,850.0,1.13458897098115,call,0.01,True,0.5560062703715453,99.99920423313463,5.837474519758777
2,0.005479452054794521,855.0,1.1412630237516275,call,0.01,True,0.5795333303331588,99.99982159815501,7.69721483345984
2,0.005479452054794521,860.0,1.1479370765221049,call,0.01,True,0.6028398704334149,99.99996202744882,9.438013805459585
2,0.005479452054794521,640.0,0.8542787546211013,put,0.02,True,0.7332331001219607,99.99999994748075,3.402030502511668
2,0.005479452054794521,645.0,0.8609528073915786,put,0.02,True,0.7000136045891044,99.99999945691293,7.160436715643123
2,0.005479452054794521,650.0,0.8676268601620559,put,0.03,True,0.6930804986272316,99.99999669763983,20.622854104255147
2,0.005479452054794521,651.0,0.8689616707161515,put,0.03,True,0.6862637523374433,99.99999493693336,18.91333750502942
2,0.005479452054794521,652.0,0.870296481270247,put,0.02,True,0.6537498972998731,99.99998841277488,24.260809447340744
2,0.005479452054794521,653.0,0.8716312918243424,put,0.03,True,0.67264559655575,99.99998827105702,15.359484113561713
2,0.005479452054794521,654.0,0.8729661023784379,put,0.03,True,0.6658443306801847,99.99998227703043,13.51157096441948
2,0.005479452054794521,655.0,0.8743009129325333,put,0.02,True,0.6340037308681433,99.99996002181668,32.57933450131154
2,0.005479452054794521,656.0,0.8756357234866288,put,0.03,True,0.6522568600923316,99.99996011078213,9.664044641013355
2,0.005479452054794521,657.0,0.8769705340407242,put,0.03,True,0.6454705506973757,99.99994058195234,7.660194540846748
2,0.005479452054794521,658.0,0.8783053445948198,put,0.03,True,0.6386889963421866,99.99991190909803,5.599916794505981
2,0.005479452054794521,659.0,0.8796401551489152,put,0.03,True,0.6319121677619405,99.99987001171083,3.4807614343615456
2,0.005479452054794521,660.0,0.8809749657030107,put,0.03,True,0.6251398476769457,99.99980908126756,1.300128126352773
2,0.005479452054794521,661.0,0.8823097762571062,put,0.03,True,0.6183721055585878,99.99972089049034,0.9447450023677972
2,0.005479452054794521,662.0,0.8836445868112016,put,0.03,True,0.6116087064963138,99.99959384376969,3.2567934882925718
2,0.005479452054794521,663.0,0.8849793973652971,put,0.03,True,0.6048497044694622,99.99941167865934,5.639139701006657
2,0.005479452054794521,664.0,0.8863142079193925,put,0.03,True,0.5980948490483493,99.99915169960235,8.095107159233986
2,0.005479452054794521,665.0,0.887649018473488,put,0.03,True,0.5913441112265876,99.99878238805053,10.628236106472919
2,0.005479452054794521,666.0,0.8889838290275835,put,0.03,True,0.584597504853271,99.99826018583975,13.242300471852653
2,0.005479452054794521,667.0,0.890318639581679,put,0.04,True,0.5952133197722511,99.99814389145598,13.044005233080384
2,0.005479452054794521,668.0,0.8916534501357745,put,0.03,True,0.5711154215660526,99.99649541024907,18.729612196493882
2,0.005479452054794521,669.0,0.8929882606898699,put,0.03,True,0.5643799983382314,99.99505918441334,21.611750787922198
2,0.005479452054794521,670.0,0.8943230712439654,put,0.03,True,0.5576481295143337,99.99306515085237,24.59265334602214
